author_id,sentiment,YM,model
93814303,1,01/2018,ALL
350659811,0,01/2018,ALL
1275326666,0,01/2018,ALL
1454928205,0,01/2018,ALL
14056672,1,01/2018,ALL
250543278,1,01/2018,ALL
297397741,0,01/2018,ALL
782275509593968640,0,01/2018,ALL
68506521,1,01/2018,ALL
585970933,1,01/2018,ALL
888069629360222208,1,01/2018,ALL
78780655,0,01/2018,ALL
357487121,0,01/2018,ALL
297397741,1,01/2018,ALL
29566832,1,01/2018,ALL
250543278,1,01/2018,ALL
31654112,0,01/2018,ALL
19285531,0,01/2018,ALL
1536103471,1,01/2018,ALL
4496512937,0,01/2018,ALL
158513814,1,01/2018,ALL
184982466,0,01/2018,ALL
563935238,0,01/2018,ALL
881157653011075073,0,01/2018,ALL
895507798074605569,0,01/2018,ALL
895507798074605569,0,01/2018,ALL
834844187325513734,0,01/2018,ALL
61919901,1,01/2018,ALL
919997827136106502,1,01/2018,ALL
64235467,0,01/2018,ALL
769467290878222336,1,01/2018,ALL
889506511004721153,0,01/2018,ALL
919997827136106502,0,01/2018,ALL
19143053,0,01/2018,ALL
3315543682,0,01/2018,ALL
14883122,0,01/2018,ALL
2427683720,0,01/2018,ALL
42002120,1,01/2018,ALL
45445763,1,01/2018,ALL
297397741,1,01/2018,ALL
3143169254,0,01/2018,ALL
3596747056,1,01/2018,ALL
106287256,1,01/2018,ALL
1080256214,1,01/2018,ALL
1683220639,1,01/2018,ALL
18805409,0,01/2018,ALL
1659422988,1,01/2018,ALL
449675611,1,01/2018,ALL
2902459224,1,01/2018,ALL
773715997,1,01/2018,ALL
441495775,1,01/2018,ALL
1007401302,1,01/2018,ALL
103810750,1,01/2018,ALL
3017472048,1,01/2018,ALL
980410976,1,01/2018,ALL
2465813503,1,01/2018,ALL
1174339596,1,01/2018,ALL
1612386392,1,01/2018,ALL
467123654,1,01/2018,ALL
749334649,1,01/2018,ALL
598298701,1,01/2018,ALL
2471410550,1,01/2018,ALL
546739174,1,01/2018,ALL
393866094,1,01/2018,ALL
1117471,1,01/2018,ALL
4745400314,0,01/2018,ALL
836264894219620353,0,01/2018,ALL
132762263,1,01/2018,ALL
15435127,1,01/2018,ALL
45829691,0,01/2018,ALL
4159048754,1,01/2018,ALL
1360074954,1,01/2018,ALL
323829862,0,01/2018,ALL
922631784847863809,0,01/2018,ALL
164939499,1,01/2018,ALL
1080256214,1,01/2018,ALL
625428620,1,01/2018,ALL
146442510,1,01/2018,ALL
2251577246,0,01/2018,ALL
518893575,1,01/2018,ALL
1214861312,1,01/2018,ALL
235153539,0,01/2018,ALL
1425242347,1,01/2018,ALL
721590650563461120,0,01/2018,ALL
767958285890625536,1,01/2018,ALL
767958285890625536,0,01/2018,ALL
607936230,0,01/2018,ALL
297397741,1,01/2018,ALL
1132795518,0,01/2018,ALL
2889269340,1,01/2018,ALL
555031989,0,01/2018,ALL
919997827136106502,0,01/2018,ALL
889506511004721153,0,01/2018,ALL
889506511004721153,0,01/2018,ALL
949215780838637569,1,01/2018,ALL
888808440583172096,0,01/2018,ALL
3181165676,1,01/2018,ALL
895507798074605569,0,01/2018,ALL
839172296577323008,1,01/2018,ALL
256549909,1,01/2018,ALL
809392810692640768,1,01/2018,ALL
2437493161,1,01/2018,ALL
2848442307,1,01/2018,ALL
26478168,1,01/2018,ALL
26478168,1,01/2018,ALL
386277982,0,01/2018,ALL
334664901,0,01/2018,ALL
198984648,0,01/2018,ALL
866525311600656385,0,01/2018,ALL
1038885840,0,01/2018,ALL
83588783,0,01/2018,ALL
333845543,1,01/2018,ALL
19064207,0,01/2018,ALL
629084145,0,01/2018,ALL
539454709,1,01/2018,ALL
889506511004721153,0,01/2018,ALL
2264669149,1,01/2018,ALL
517096809,0,01/2018,ALL
18727848,0,01/2018,ALL
862246149448581121,0,01/2018,ALL
297397741,0,01/2018,ALL
397518511,0,01/2018,ALL
3064266184,1,01/2018,ALL
297397741,1,01/2018,ALL
895507798074605569,0,01/2018,ALL
2928530227,0,01/2018,ALL
478042067,0,01/2018,ALL
699093160400519168,1,01/2018,ALL
2856938044,0,01/2018,ALL
386277982,1,01/2018,ALL
158594198,0,01/2018,ALL
759610003,0,01/2018,ALL
3358839059,0,01/2018,ALL
278818930,1,01/2018,ALL
933461020185477120,0,01/2018,ALL
836272957,0,01/2018,ALL
17463660,0,01/2018,ALL
1360074954,0,01/2018,ALL
831950339981135872,1,01/2018,ALL
777017868684697600,0,01/2018,ALL
721590650563461120,1,01/2018,ALL
297397741,1,01/2018,ALL
106746583,1,01/2018,ALL
760794605982023680,0,01/2018,ALL
920122256365199360,0,01/2018,ALL
920122256365199360,1,01/2018,ALL
833966641935478784,0,01/2018,ALL
297397741,0,01/2018,ALL
726872427981066241,0,01/2018,ALL
2463079832,0,01/2018,ALL
297397741,1,01/2018,ALL
919997827136106502,0,01/2018,ALL
37477788,1,01/2018,ALL
197553087,0,01/2018,ALL
880407847690829824,1,01/2018,ALL
704754789406486528,1,01/2018,ALL
2356982959,0,01/2018,ALL
518238327,0,01/2018,ALL
880407847690829824,1,01/2018,ALL
24878999,0,01/2018,ALL
272005814,1,01/2018,ALL
16856037,1,01/2018,ALL
17909586,0,01/2018,ALL
48616766,0,01/2018,ALL
158474961,0,01/2018,ALL
